id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
1,123400001,1,5,13635,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,123400002,2,9,23324,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
3,123400003,2,8,34873,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,123400004,3,3,2196,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
5,123400005,3,7,79140,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
6,123400006,3,5,52100,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
7,123400007,4,4,66747,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
8,123400008,4,6,76941,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
9,123400009,4,6,29973,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,123400010,4,4,1859,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
