id,customer_id,merchant_id,status,created_at,updated_at
1, 1, 11, pending, 2009-02-07 14:54:09 UTC, 2014-03-1514:54:09 UTC
2, 2, 22, shipped, 2012-11-23 14:54:09 UTC, 2013-04-14 14:54:09 UTC
3, 3, 33, shipped, 2009-12-09 14:54:09 UTC, 2010-07-10 14:54:09 UTC
4, 4, 44, pending, 2013-08-05 14:54:09 UTC, 2014-06-06 14:54:09 UTC
5, 5, 55, pending, 2014-02-08 14:54:09 UTC, 2014-07-22 14:54:09 UTC
6, 6, 66, pending, 2015-03-13 14:54:09 UTC, 2015-04-05 14:54:09 UTC
7, 7, 77, pending, 2006-10-16 14:54:09 UTC, 2013-12-24 14:54:09 UTC
8, 8, 88, shipped, 2003-11-07 14:54:09 UTC, 2004-07-31 14:54:09 UTC
9, 9, 99, shipped, 2003-03-07 14:54:09 UTC, 2008-10-09 14:54:09 UTC
10, 10, 111, pending, 2014-04-13 14:54:09 UTC, 2015-01-20 14:54:09 UTC
11, 11, 112, pending, 2008-01-07 14:54:09 UTC, 2014-05-30 14:54:09 UTC
