id,name,description,unit_price,merchant_id,created_at,updated_at
263403127,Knitted winter snood,"Comfortable and elegant snood will make you feel cozy and will warm up your mood with bright colors",4900,12334403,2016-01-11 12:33:41 UTC,2008-05-12 14:00:24 UTC
263405861,Two tone blue stoneware pot,"A rounded stoneware pot/bowl with a dark blue glaze and a white/blue glaze.",1000,12334609,2016-01-11 13:18:58 UTC,1993-04-21 16:42:48 UTC
263407685,Barre Harder,"I have sizes S, M, and L",2199,12334795,2016-01-11 13:50:22 UTC,2008-11-07 03:26:02 UTC
263405977,Manchette cuir Mathilde,"Composé de cuir tannage végétal et d&#39;un fermoir en étain plaqué argent 12 microns.",5000,12334455,2016-01-11 13:19:57 UTC,2013-12-17 12:38:34 UTC
263395617,Glitter scrabble frames,"Glitter scrabble frames",1300,12334185,2016-01-11 11:51:37 UTC,1993-09-29 11:56:40 UTC
263395721,Disney scrabble frames,"Disney glitter frames Any colour glitter available and can do any characters you require Wooden",1350,12334185,2016-01-11 11:51:37 UTC,2008-04-02 13:48:57 UTC
263396013,Free standing Woden letters,"Free standing wooden Any colours",700,12334185,2016-01-11 11:51:36 UTC,2001-09-17 15:28:43 UTC
263407925,Adidas Breitner Super Fußballschuh,Adidas Breitner Super mit Nocken. Hergestellt ab dem Jahr 1983.,10000,12334123,2016-01-11 13:48:51 UTC,2002-03-25 20:00:24 UTC
263407937,Spenser - Dragon&#39;s Blood,"&quot;Spenser&quot; - Dragon&#39;s Blood Scent.",495,12334727,2016-01-11 17:12:40 UTC,1984-11-08 15:31:27 UTC
263407971,Adidas K.H. Förster Fußballschuh,Adidas K.H. Förster mit der Tausendfüssler-Sohle. Hergestellt ab dem Jahr 1983.,7500,12334123,2016-01-11 13:49:39 UTC,1975-08-19 17:07:57 UTC
263408101,Freedom,This painting has spray paint as the primary medium - entirely hand painted and free style on the lettering and all details within the elephant face. Any variations can be made including size alterations or color changes.,4000,12334783,2016-01-11 14:15:32 UTC,2015-02-01 15:03:21 UTC
263408573,Adidas Azteca Fußballschuh,Adidas Azteca mit Schraubstollen und silbernen Streifen. Hergestellt ab dem Jahr 1986.,7500,12334123,2016-01-11 13:57:42 UTC,1978-01-30 19:07:31 UTC
263408639,Adidas Aberdeen Fußballschuh,Adidas Aberdeen mit der Tausendfüssler-Sohle. Hergestellt ab dem Jahr 1986.,7500,12334123,2016-01-11 13:58:35 UTC,2008-02-07 21:55:58 UTC
263408741,Adidas Brazil Fußballschuh,"Adidas Brazil mit der Tausendfüssler-Sohle, die sich leider auflößt. Hergestellt ab dem Jahr 1983.",7500,12334123,2016-01-11 13:59:50 UTC,1970-07-31 12:13:30 UTC
263408869,Adidas Nottingham Fußballschuh,Adidas Nottingham mit Nocken und den silber roten Streifen. Hergestellt ab dem Jahr 1986.,10000,12334123,2016-01-11 14:01:51 UTC,1970-07-22 10:11:58 UTC
263408935,Adidas Hattrick Fußballschuh,Adidas Hattrick mit Schraubstollen. Hergestellt ab dem Jahr 1986.,10000,12334123,2016-01-11 14:02:35 UTC,2012-05-09 23:35:57 UTC
263409021,Adidas Penarol Cup Fußballschuh,Adidas Penarol Cup mit Nocken inkl. der Originalverpackung. Hergestellt ab dem Jahr 1987.,15000,12334123,2016-01-11 14:03:35 UTC,2002-04-21 01:06:27 UTC
263409279,Adidas FX 10 Fußballschuh,Adidas FX 10 mit der FX Stollentechnologie. Hergestellt ab dem Jahr 1987.,5000,12334123,2016-01-11 14:06:41 UTC,2008-04-13 23:11:10 UTC
263409419,Adidas FX 100 Fußballschuh,Adidas FX 100 mit der FX Stollentechnologie. Hergestellt ab dem Jahr 1987.,10000,12334123,2016-01-11 14:08:11 UTC,1975-02-11 14:31:06 UTC
263409477,Adidas Penarol Fußballschuh,Adidas Penarol mit Schraubstollen inkl. der Originalverpackung. Hergestellt ab dem Jahr 1987.,15000,12334123,2016-01-11 14:08:56 UTC,1970-02-17 22:40:35 UTC
263410021,I Love You to the Moon and Back,8x11 hand painted canvas,1500,12334112,2016-01-11 14:23:09 UTC,1998-01-17 02:10:23 UTC
