id,name,description,unit_price,merchant_id,created_at,updated_at
1,Pencil,You can use it to write things,1099,12334105,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
2,Pad,You can write things on it,1199,12334105,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
3,Pen,You can write things with it,1299,12334112,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
4,Eraser,You can use it to erase things,1299,12334113,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
5,A thing,You can use it to erase things,1899,12334113,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
6,Another thing,You can use it to erase things,1699,12334113,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
7,Another other thing,You can use it to erase things,1199,12334113,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
8,Other thing,You can use it to erase things,1234,12334113,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
9,Some stuff,You can use it to erase things,123456,12334113,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
10,Garbage,It is trash,1199,12334105,2016-01-11 09:34:06 UTC,2007-06-04 21:35:10 UTC
