id,name,description,unit_price,merchant_id,created_at,updated_at
263515158,Glitter scrabble frames,"Glitter scrabble frames

Any colour glitter
Any wording

Available colour scrabble tiles
Pink
Blue
Black
Wooden",1300,12334185,2016-01-11 11:51:37 UTC,1993-09-29 11:56:40 UTC
263395721,Disney scrabble frames,"Disney glitter frames

Any colour glitter available and can do any characters you require

Different colour scrabble tiles

Blue
Black
Pink
Wooden",1300,12334185,2016-01-11 11:51:37 UTC,2008-04-02 13:48:57 UTC
263396013,Free standing Woden letters,"Free standing wooden letters

15cm

Any colours",700,12334185,2016-01-11 11:51:36 UTC,2001-09-17 15:28:43 UTC
263396209,Vogue Paris Original Givenchy 2307,"Vogue Paris Original 2307; ca. 1980; Givenchy - Dress, fitted through the bustline with back-lapped bodice and straight front-wrapped lined skirt, four inches below mid-knee or evening length, has bodice pleated at right shoulder (no shoulder seam) and bodice front and skirt front and back gathered into waistline seam. Left side of skirt has draped waistline extension. Skirt lining has side zipper closing and deep left side hemline slit. Skirt has shaped hemline.

Featured in Vogue Patterns May/June 1980

Size 14

Refer to image for size info

Envelope shows storage wear and crumpling, opened to one side.",2999,12334105,2016-01-11 10:37:09 UTC,1995-03-19 10:02:43 UTC
263396255,Cache cache à la plage,"Acrylique sur toile exécutée en 2011
Format : 46 x 55 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",14900,12334195,2016-01-11 11:30:36 UTC,1998-09-11 21:34:04 UTC
263396279,"Eule - Topflappen, handgehäkelt, Paar","Handgerfertigete Topflappen in Form einer Eule. Die Topflappen wurden aus Wolle gehäkelt. Als Augen wurden Knöpfe verwendet.

Der Verkauf erfolgt paarweise.

Handmade in Germany

Masse: Länge 22,5cm; Breite (breiteste Stelle) 17 cm",1490,12334213,2016-01-11 10:06:10 UTC,1995-03-08 17:49:21 UTC
263396463,"Kindersocken (Söckchen), hangestrickt, Länge ca.15 cm, beige (eierschalenfarben)","Handgestricke Kindersocken aus beiger (eierschalenfarben) Wolle. sehr weich, bequem und warm.

Verkauf erfolgt paarweise.

Handmade in Germany

Höhe (längste Stelle: 11 cm); Breite (breiteste Stelle) 15 cm",690,12334213,2016-01-11 10:06:10 UTC,1988-10-07 19:47:45 UTC
263396517,Course contre la montre,"Acrylique sur toile exécutée en 2013
Format : 46 x 38 cm
Toile sur châssis en bois - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",40000,12334195,2016-01-11 11:30:35 UTC,1994-05-07 23:38:43 UTC
263397059,Etre ailleurs,"Acrylique sur carton entoilé exécutée en 2013
Format : 27 x 41 cm
Carton entoilé - non encadré
Artiste : Flavien Couche - Artiste côté Akoun

TABLEAU VENDU AVEC FACTURE ET CERTIFICAT D&#39;AUTHETICITE

www.flavien-couche.com",13000,12334195,2016-01-11 11:30:35 UTC,2007-07-24 05:54:52 UTC
263397163,"A Variety of Fragrance Oils for Oil Burners, Potpourri, Resins + More, Lavender, Patchouli, Nag Champa, Rose, Vanilla, White Linen, Angel","A little definitely goes a long way with Bloomin Scents enticing, relaxing home and anywhere you want tranquillity fragrance oils. Uplift your senses with classic blends of Cinnamon & Orange, Apple Fresh, Patchouli, lavender and more.

Use a drop of one of these fragrance oils in a burner for a roomful of scent. These oils are specifically for &#39;Oil Burners in 10ml Amber Bottles",399,12334207,2016-01-11 10:51:02 UTC,1988-09-01 17:09:25 UTC
263500432,Roses/Flower Stirling Silver  Dangle Earrings,"Designed in Australia (South Australia) and hand poured in Indonesia. Delicate Rose Flower drop earrings.
Made of 925 Stirling Silver

Comes with jewellery pouch (as pictured)

Size of rose (1.6cm x1.6cm)",4900,12334189,2016-01-11 10:14:50 UTC,2015-10-30 04:38:22 UTC
263500440,Butterick 4236 Bridal Accessories,"Butterick 4236 Bridal Accessories

One Size

Please refer to image of the reverse side of the item for detailed info.

Pattern and envelope is well kept and intact.",999,12334105,2016-01-11 10:37:09 UTC,1973-02-23 00:23:54 UTC
