id,customer_id,merchant_id,status,created_at,updated_at
1,1,101,pending,2009-02-07,2014-03-15
2,2,102,pending,2012-11-23,2013-04-14
3,3,102,pending,2013-10-01,2014-05-05
4,4,102,pending,2011-06-05,2016-11-11
5,4,103,pending,2010-11-10,2015-10-10
6,4,104,pending,2011-11-11,2015-05-05
7,5,105,pending,2010-10-11,2015-07-07
8,5,106,pending,2013-11-15,2016-09-09
9,5,106,pending,2014-06-06,2015-06-06
10,6,106,pending,2013-04-04,2015-04-04
11,6,106,pending,2014-07-07,2015-07-07
12,1,106,pending,2015-08-08,2016-08-08
13,1,106,pending,2011-09-09,2014-09-08
14,2,106,pending,2015-05-05,2016-09-09
15,3,106,pending,2010-03-03,2015-06-06
