id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
240,263440607,55,1,59133,2012-03-26 14:54:12 UTC,2012-03-26 14:54:12 UTC
241,263456903,55,7,53905,2012-03-26 14:54:12 UTC,2012-03-26 14:54:12 UTC
242,263409279,55,8,79964,2012-03-26 14:54:12 UTC,2012-03-26 14:54:12 UTC
243,263520042,55,3,4265,2012-03-26 14:54:12 UTC,2012-03-26 14:54:12 UTC
244,263408573,55,2,96918,2012-03-26 14:54:12 UTC,2012-03-26 14:54:12 UTC
245,263512320,55,5,71222,2012-03-26 14:54:12 UTC,2012-03-26 14:54:12 UTC
246,263417673,55,10,59496,2012-03-26 14:54:12 UTC,2012-03-26 14:54:12 UTC
344,263506360,74,1,87909,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
345,263500126,74,5,70021,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
346,263544036,74,9,34434,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
347,263412361,74,8,18764,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
348,263530862,74,5,46910,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
349,263543136,74,10,31708,2012-03-27 14:54:13 UTC,2012-03-27 14:54:13 UTC
592,263521564,125,5,19657,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
593,263552660,125,4,91663,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
594,263453111,125,10,52640,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
595,263414425,125,8,25117,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
596,263514300,125,6,52640,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
597,263548084,125,4,61947,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
598,263401265,125,7,22678,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
649,263536928,139,8,43408,2012-03-27 14:54:16 UTC,2012-03-27 14:54:16 UTC
