id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
1,5,1,1,1000000,2021-03-27 14:54:09 UTC,2021-03-27 14:54:09 UTC
2,1,2,10,1000,2021-03-28 14:54:09 UTC,2021-03-28 14:54:09 UTC
3,2,2,10,1200,2021-03-28 14:54:09 UTC,2021-03-28 14:54:09 UTC
4,4,2,1,2000,2021-03-28 14:54:09 UTC,2021-03-28 14:54:09 UTC
5,3,3,107,1200,2021-05-28 14:54:09 UTC,2021-05-28 14:54:09 UTC
6,1,3,98,1000,2021-05-28 14:54:09 UTC,2021-05-28 14:54:09 UTC
7,2,3,64,1200,2021-05-28 14:54:09 UTC,2021-05-28 14:54:09 UTC
8,3,4,24,1200,2021-06-16 10:12:30 UTC,2021-06-16 10:12:30 UTC
9,4,4,12,2000,2021-06-16 10:12:30 UTC,2021-06-16 10:12:30 UTC
10,5,4,1,1000000,2021-06-16 10:12:30 UTC,2021-06-16 10:12:30 UTC
11,1,4,36,1000,2021-06-16 10:12:30 UTC,2021-06-16 10:12:30 UTC
12,1,5,15,1000,2021-06-16 20:35:19 UTC,2021-06-16 20:35:19 UTC,
13,2,5,15,1200,2021-06-16 20:35:19 UTC,2021-06-16 20:35:19 UTC,
14,3,5,15,1200,2021-06-16 20:35:19 UTC,2021-06-16 20:35:19 UTC,
15,4,5,15,2000,2021-06-16 20:35:19 UTC,2021-06-16 20:35:19 UTC,
