id,customer_id,merchant_id,status,created_at,updated_at
1,1,12334123,pending,2009-02-07,2014-03-15
2,1,12334986,shipped,2012-11-23,2013-04-14
3,2,12334145,shipped,2009-12-09,2010-07-10
4,3,12334159,pending,2013-08-05,2014-06-06
5,4,12334123,pending,2014-02-08,2014-07-22
6,5,12334145,pending,2015-03-13,2015-04-05
7,5,12334986,pending,2006-10-16,2013-12-24
8,5,12334986,shipped,2003-11-07,2004-07-31
9,6,12334986,shipped,2003-03-07,2008-10-09
10,7,12334994,pending,2014-04-13,2015-01-20
11,8,12334994,pending,2008-01-07,2014-05-30
12,9,12334994,shipped,2014-05-06,2014-10-06
13,10,12334159,shipped,2004-02-14,2010-03-26
14,11,12334123,pending,2005-12-19,2010-08-18
15,11,12334986,shipped,2012-07-21,2014-07-01
16,11,12334986,shipped,2014-07-26,2014-08-25
17,11,12334986,pending,2005-06-03,2015-07-01
18,11,12334986,shipped,2001-12-13,2006-05-02
19,12,12334994,shipped,2004-09-28,2012-08-28
20,13,12334994,shipped,2010-09-17,2012-10-11
21,13,12334994,shipped,2012-08-28,2016-01-19
22,14,12334994,shipped,2013-12-26,2014-04-21
23,15,12334145,pending,2012-12-20,2013-01-29
24,3,12334145,shipped,2003-10-30,2008-06-22
25,5,12334123,returned,2011-08-08,2015-07-21
26,11,12334986,shipped,2008-04-04,2009-04-27
27,1,12334986,shipped,2011-06-21,2013-07-22
28,13,12334145,shipped,2013-05-26,2014-11-20
29,15,12334145,shipped,2008-09-21,2010-10-21
30,15,12334994,pending,2001-11-24,2009-11-13
