id,name,description,unit_price,merchant_id,created_at,updated_at
263395485,shoes,Amazing shoes the best,50,123344534,2003-02-12 09:34:06 UTC,2001-06-04 18:15:12 UTC
263395295,pencils,You can write with them,12,123346512,2011-02-11 07:44:36 UTC,2004-03-24 10:25:11 UTC
263395281,helmets,They protect your dome,80,123340908,2013-04-04 02:24:36 UTC,2002-03-12 20:55:19 UTC
263395094,art,Sick art,1100,123347261,2012-11-11 01:24:33 UTC,2002-04-24 22:45:34 UTC
263348371,tv's,Nice resolution,550,123348463,2010-08-31 01:24:15 UTC,2005-04-13 23:22:34 UTC
263047261,wood,Yep it's wood,40,123340982,2013-06-22 05:44:22 UTC,2004-12-24 18:25:11 UTC
263098123,t-shirts,They are real nice,25,123343345,2012-11-14 05:54:44 UTC,2002-03-24 17:25:33 UTC
263937180,pants,Tight jeans,50,123340938,2014-03-14 10:14:33 UTC,2007-02-19 16:25:11 UTC
263324508,skis,Good rocker,950,123340938,2015-07-06 11:22:07 UTC,2008-03-12 17:15:55 UTC
263102817,snowboards,Splitboards for days,850,123343899,2011-04-18 04:44:56 UTC,2002-09-12 20:11:44 UTC
263310293,books,Used books of all sorts,5,123340019,2009-05-09 03:04:46 UTC,2002-09-01 12:33:22 UTC
263382919,head phones,Now with bluetooth,35,123341029,2012-02-09 01:32:26 UTC,2009-04-09 09:22:14 UTC
263847161,cups,You can drink coffee with them,5,123348594,2013-04-13 04:35:46 UTC,2004-08-12 13:25:12 UTC
263039183,coffee,Best enjoyed out of a cup,10,123349890,2011-10-23 07:35:56 UTC,2001-09-11 10:25:13 UTC
263049181,air fryer,No oils required,60,123347789,2009-05-22 02:33:09 UTC,1999-03-18 20:34:19 UTC
263048391,microwave,10000000 watts of straight power,110,123342342,2008-09-22 01:14:16 UTC,2002-10-30 10:15:50 UTC
263948171,refrigerator,They keep your food chilled or frozen,1200,123348934,2010-06-16 09:34:06 UTC,2001-02-22 22:15:42 UTC
260391837,doors,They close,250,123349019,2013-06-23 03:44:56 UTC,2003-09-11 02:35:20 UTC
261876153,lights,Lights for all of your needs,30,123341281,2013-10-08 04:35:36 UTC,2001-11-19 05:23:09 UTC
268716492,mattress,You can sleep on it,400,123341356,2014-05-13 01:14:08 UTC,2007-06-04 01:19:48 UTC
