id,name,description,unit_price,merchant_id,created_at,updated_at
263564316,US Army wreath,"US Army wreath, made it for my front door. Missing my favorite while he&#39;s overseas.

Can be made to order, and color, any pattern.",3000,12336556,2016-01-11 20:44:20 UTC,1978-12-14 05:15:50 UTC
263564328,Dog,Lovely photo of a mixed breed dog,1200,12336592,2016-01-11 20:42:52 UTC,2005-06-19 19:24:16 UTC
263564568,The Taj Mahal *Red Edition,"Taj Mahal Circa 2006

Taken and Edited by rakimagery

This listing is for canvas print that is gallery-wrapped around a 1.5” wooden stretcher frame. It arrives ready-to-hang right out of the box.

Bring a little India into your home.

Perfect for home or office!",25000,12336622,2016-01-11 20:48:52 UTC,1997-05-05 10:36:00 UTC
263564700,TY Beanie Baby Valentino Bear,Tag in tact. Great shape.,500,12336251,2016-01-11 20:41:34 UTC,1991-09-15 10:26:47 UTC
263564728,abstract tree,"- acrylic, metallic paint used
- egg shell used for texture",25000,12336098,2016-01-11 20:50:00 UTC,2005-01-20 23:06:19 UTC
263564776,Milestone Birthday Chalkboard Poster-Digital File,"This is a personalized milestone chalkboard poster. This makes an excellent addition for birthday parties, photo shoots, wall decor, baby books, and more!

*Themes and colors are customizable.*

**This is a digital file. No physical products will be shipped.**

***Details***

1. Choose your size print from the drop down box. (The size recommendations for this design is a 16X20.)
2. COPY AND PASTE the following in the &#39;Notes to Seller&#39; box at checkout:
- Colors/Birthday Theme:
- Name:
- Age:
- Height:
- Weight:
- Number of Teeth:
- 8 to 12 things they LOVE:

Pick FIVE of the following or create your own:
- Fav Foods (up to 5):
- I Can Say (up to 6):
- Fav Books (up to 3):
- Fav Songs (up to 3):
- Fav Shows (up to 3):
- Fav Games (up to 3):
- I Can (up to 6):
- Nicknames (up to 4):

Feel free to swap any of the above categories for one of your own

3. After I have completed the initial design, I will send a sample to be approved via Etsy Conversation within 48 hours. Once the sample is approved, the item will be sent as a PDF or GIF to the email associated with your Etsy account.",1000,12337041,2016-01-11 20:47:43 UTC,1993-02-24 18:04:12 UTC
263564840,deathly hallows sweatshirt Unisex Sweatshirt,"Fabric
80% Cotton, 20% Polyester

Weight
280gsm

Size
XS 34&quot;
S 36&quot;
M 40&quot;
L 44&quot;
XL 48&quot;
2XL 52&quot;
3XL * 56&quot;",1199,12337171,2016-01-11 20:57:45 UTC,2010-03-17 14:38:34 UTC
263565020,Picture Letters,"These are wooden letters that have pictures on them. It can be black and white or full color it is your choice. You can email me photos and I will have them printed on nice photo paper and make your letter! :)

Email images to: southernncreations@gmail.com",2500,12336642,2016-01-11 20:53:42 UTC,2002-07-08 11:26:32 UTC
263565028,Bird houses,"A bird house made of all natural material, hand crafted with love.",10000,12336652,2016-01-11 20:49:08 UTC,1989-03-08 06:59:00 UTC
263565256,Charleston Bridge,Amazing print of Charleston S.C Ravanel bridge on South Carolina pine.  Hand crafted and stained.  Custom ones are available.,1500,12337339,2016-01-11 20:55:01 UTC,1979-09-06 04:26:57 UTC
