id,name,created_at,updated_at
12336556,Shopkarissa,2005-12-13,2007-09-13
12336587,ThatsSewMolley,2011-11-08,2014-06-09
12336592,aperturi,2007-04-18,2007-11-19
12336595,ColesChinaCabinet,2010-11-12,2016-02-19
12336607,TheHairFader,2016-01-09,2016-02-06
12336611,GriffithsArtService,2007-09-05,2014-01-13
12336617,FullyFashionedKnits,2015-10-06,2016-01-10
12336622,rakimagery,2010-08-13,2013-12-01
12336642,southernncreations,2006-10-24,2015-04-03
12336652,Miamousesbirdhouses,2015-05-05,2015-10-15
12336677,KamLandSoapShop,2008-09-07,2011-11-16
12336683,NerdyGear,2000-04-01,2001-12-30
12336711,angelacandlesabeauty,2012-03-16,2013-06-15
12336727,productsbynikole,2001-04-26,2009-01-17
12336730,OceanSmells,2013-12-19,2014-10-10
12336739,RanaParvaShop,2007-07-05,2008-11-23
12336748,OffLeashJewelry,2003-01-02,2007-12-14
12336749,DeschampsDesign,2014-07-20,2015-10-02
12336753,Gracebythebook,2001-09-09,2011-09-06
12336801,cirinosbloodymary,2000-11-20,2003-03-12
12336819,Hannahrefaatdesign,2004-09-23,2012-06-28
12336821,CAMsCustomArt,2004-10-15,2012-02-15
12336837,HappyPrettyHome,2015-11-10,2016-01-29
12336851,LittleGlamourBling,2008-06-03,2012-09-30
12336867,MyDream89,2014-08-16,2016-01-10
12336889,SouthernComfrtCndles,2003-09-27,2004-06-30
12336927,TheCullenChronicles,2013-04-25,2015-04-15
12336935,CadeauJudaica,2003-09-29,2006-02-15
12336957,DivineLoveSigrun,2002-02-26,2003-06-06
12336965,JewelleAccessories,2010-02-13,2011-12-29
12336973,CurvaciousGlam,2005-02-24,2005-02-27
12336983,thesageandspirit,2005-09-25,2010-08-01
12337005,cristinpowersART,2015-02-10,2015-04-18
12337011,Pillowtalkdartmoor,2004-10-06,2014-12-04
12337041,MilestonesForBaby,2008-05-30,2008-08-16
12337105,mugglifeyeg,2009-06-25,2014-11-20
12337139,NicSueDesigns,2014-10-02,2015-12-12
12337145,JaimeLeeLightleArt,2002-04-14,2012-03-01
12337163,JillMariedesigns51,2006-02-22,2007-11-05
12337171,Promotionalsearchltd,2011-07-09,2012-11-04
12337191,CreativeBounty,2014-12-28,2015-08-27
12337193,zuzulovevintage,2000-11-25,2002-03-27
12337199,fancybookart,2001-07-10,2007-10-09
12337207,GeorgiaFayeDesigns,2009-02-16,2014-04-11
12337209,bizuteriaNYC,2012-09-11,2014-01-28
12337211,LexKStyles,2002-11-19,2012-10-09
12337321,HeadyMamaCreations,2013-04-04,2013-11-23
12337339,LovesVariety,2003-07-14,2006-05-11
12337341,CoetographyPrints,2008-05-07,2011-11-05
12337409,cardsbymarykate,2002-09-23,2011-02-01
12337411,CJsDecor,2011-12-09,2016-01-08
