id,item_id,invoice_id,quantity,unit_price,created_at,updated_at
3,263451719,1,8,5,2021-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
1,263519844,1,5,10,2021-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
4,263542298,1,3,10,2021-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
2,263454779,1,9,15,2021-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
10,263523644,2,4,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
14,263529264,3,7,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:09 UTC
46,263523018,9,10,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
27,263553784,6,2,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
49,263446911,10,4,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
30,263543430,6,6,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
29,263547780,6,2,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
32,263533436,6,1,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
48,263558204,9,5,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
9,263529264,2,6,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:09 UTC
11,263532898,2,3,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:09 UTC
12,263438971,2,8,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:09 UTC
25,263452311,5,9,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
33,263558200,6,1,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
40,263558834,8,2,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
42,263431273,8,8,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
22,263546142,4,3,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
21,263566314,4,2,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
37,263556622,7,2,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
17,263517394,3,5,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
47,263435527,9,4,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
19,263509232,3,8,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
28,263547824,6,3,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
24,263557908,5,10,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
38,263407685,8,2,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
39,263415153,8,5,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
31,263412613,6,2,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
6,263539664,1,5,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:09 UTC
50,263407657,10,6,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
36,263445611,7,9,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
34,263446647,7,4,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
23,263422693,5,1,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
7,263563764,1,4,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
41,263537372,8,2,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
43,263549938,8,9,1,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
44,263416567,8,7,1,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
45,263547424,8,7,1,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
15,263533242,3,5,100000,2012-03-29 14:54:09 UTC,2012-03-27 14:54:09 UTC
16,263526970,3,9,200000,2012-03-27 14:54:09 UTC,2012-03-27 14:54:10 UTC
20,263395237,3,9,300000,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
26,263543136,5,10,400000,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
8,263432817,1,6,500000,2012-03-28 14:54:09 UTC,2012-03-27 14:54:09 UTC
13,263553176,3,4,600000,2012-03-27 14:54:09 UTC,2012-03-27 14:54:09 UTC
18,263520800,3,5,700000,2012-03-29 14:54:09 UTC,2012-03-27 14:54:10 UTC
5,263515158,1,7,800000,2012-03-28 14:54:09 UTC,2012-03-27 14:54:09 UTC
35,263426763,7,9,900000,2012-03-28 14:54:09 UTC,2012-03-27 14:54:10 UTC
