id,customer_id,merchant_id,status,created_at,updated_at
1,1,11111,pending,02-07-2009,03-15-2014
2,1,22222,shipped,11-23-2012,04-14-2013
3,1,33333,shipped,12-09-2009,07-10-2010
4,1,44444,pending,08-05-2013,06-06-2014
5,1,55555,pending,02-08-2014,07-22-2014
6,1,66666,pending,03-13-2015,04-05-2015
7,1,77777,pending,10-16-2006,12-24-2013
8,1,88888,shipped,11-07-2003,07-31-2004
9,2,99999,shipped,03-07-2003,10-09-2008
10,2,10101,pending,04-13-2014,01-20-2015
11,2,12334771,pending,01-07-2008,05-30-2014
12,2,12336617,shipped,05-06-2014,10-06-2014
13,3,12335955,shipped,02-14-2004,03-26-2010
14,3,12335150,pending,12-19-2005,08-18-2010
15,3,12336730,shipped,07-21-2012,07-01-2014
16,5,12336113,shipped,07-26-2014,08-25-2014
17,5,12334912,pending,06-03-2005,07-01-2015
18,5,12334839,shipped,12-13-2001,05-02-2006
19,5,12334372,shipped,09-28-2004,08-28-2012
20,5,12336163,shipped,09-17-2010,10-11-2012
21,5,12336069,shipped,08-28-2012,01-19-2016
22,5,12335902,shipped,12-26-2013,04-21-2014
23,5,12336652,pending,12-20-2012,01-29-2013
24,6,12335989,shipped,10-30-2003,06-22-2008
25,6,12334264,returned,08-08-2011,07-21-2015
26,6,12335690,shipped,04-04-2008,04-27-2009
27,6,12335319,shipped,06-21-2011,07-22-2013
28,6,12336161,shipped,05-26-2013,11-20-2014
29,7,12334861,shipped,09-21-2008,10-21-2010
30,7,12334208,pending,11-24-2001,11-13-2009
31,7,12335417,shipped,10-23-2003,12-01-2015
32,7,12336821,shipped,02-17-2015,08-02-2015
33,8,12334755,shipped,01-18-2005,09-26-2014
34,8,12334230,shipped,01-24-2015,06-15-2015
35,9,12336163,pending,01-21-2005,06-29-2005
36,9,12335345,shipped,11-04-2012,09-01-2013
37,9,12334873,returned,08-31-2009,01-01-2015
38,9,12335807,pending,11-20-2001,05-23-2014
39,9,12335335,shipped,10-27-2007,01-08-2013
40,9,12334488,shipped,05-05-2005,04-08-2013
41,9,12336592,pending,12-27-2004,11-25-2013
42,9,12335659,shipped,07-15-2005,01-04-2015
43,9,12334521,shipped,01-25-2013,06-23-2014
44,9,12335458,shipped,12-12-2013,03-03-2014
45,10,12335778,pending,01-12-2016,01-19-2016
46,10,12336837,shipped,11-11-2005,05-03-2015
47,10,12336113,shipped,12-18-2007,04-17-2009
48,10,12334986,pending,09-05-2009,08-17-2012
49,10,12335021,returned,08-07-2009,07-28-2012
50,10,12336299,pending,06-10-2007,10-30-2013
